region,country,gender,type,total,Reported All,Reported Most,Reported some
africa,botswana,n,verbal,100,0.0,0.0,0.0
africa,kenya,n,verbal,100,100.0,0.0,0.0
africa,malawi,n,verbal,100,0.0,0.0,0.0
africa,rwanda,n,verbal,100,0.0,0.0,0.0
africa,tanzania,n,verbal,100,0.0,0.0,0.0
africa,uganda,n,verbal,100,0.0,0.0,0.0
africa,zambia,n,verbal,100,0.0,0.0,0.0
africa,zimbabwe,n,verbal,100,0.0,0.0,0.0
africa,botswana,m,verbal,100,0.0,0.0,0.0
africa,kenya,m,verbal,100,0.0,0.0,16.7
africa,malawi,m,verbal,100,0.0,0.0,0.0
africa,rwanda,m,verbal,100,28.6,0.0,14.3
africa,tanzania,m,verbal,100,0.0,0.0,0.0
africa,uganda,m,verbal,100,0.0,0.0,20.0
africa,zambia,m,verbal,100,0.0,10.0,20.0
africa,zimbabwe,m,verbal,100,0.0,0.0,0.0
africa,botswana,f,verbal,100,26.7,0.0,6.7
africa,kenya,f,verbal,100,4.1,0.0,22.4
africa,malawi,f,verbal,100,7.7,7.7,11.5
africa,rwanda,f,verbal,100,4.2,4.2,8.3
africa,tanzania,f,verbal,100,5.6,2.8,13.9
africa,uganda,f,verbal,100,0.0,0.0,12.5
africa,zambia,f,verbal,100,3.0,3.0,15.2
africa,zimbabwe,f,verbal,100,10.0,10.0,25.0
africa,botswana,n,physical,100,0.0,0.0,0.0
africa,kenya,n,physical,100,0.0,0.0,0.0
africa,malawi,n,physical,100,0.0,0.0,0.0
africa,rwanda,n,physical,100,0.0,0.0,0.0
africa,tanzania,n,physical,100,0.0,0.0,0.0
africa,uganda,n,physical,100,0.0,0.0,0.0
africa,zambia,n,physical,100,0.0,0.0,0.0
africa,zimbabwe,n,physical,100,0.0,0.0,0.0
africa,botswana,m,physical,100,0.0,0.0,0.0
africa,kenya,m,physical,100,0.0,0.0,0.0
africa,malawi,m,physical,100,0.0,0.0,0.0
africa,rwanda,m,physical,100,20.0,0.0,0.0
africa,tanzania,m,physical,100,0.0,0.0,0.0
africa,uganda,m,physical,100,20.0,0.0,0.0
africa,zambia,m,physical,100,16.7,0.0,16.7
africa,zimbabwe,m,physical,100,0.0,0.0,0.0
africa,botswana,f,physical,100,23.1,7.7,15.4
africa,kenya,f,physical,100,6.3,3.1,9.4
africa,malawi,f,physical,100,0.0,0.0,0.0
africa,rwanda,f,physical,100,0.0,0.0,0.0
africa,tanzania,f,physical,100,0.0,10.3,13.8
africa,uganda,f,physical,100,0.0,0.0,15.0
africa,zambia,f,physical,100,5.9,0.0,5.9
africa,zimbabwe,f,physical,100,7.7,7.7,38.5
