region,country,gender,type,total,Dismissed without action,Perpetrator fired,Perpetrator warned,Perpretrator transferred,Perpetrator suspended,Police informed,I was transferred,I was provided support,Organisation provided training,I was fired,other
africa,botswana,n,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,n,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,malawi,n,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,n,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,tanzania,n,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,uganda,n,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,zambia,n,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,zimbabwe,n,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,m,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,m,verbal,100,0,0,100,0,0,0,0,0,0,0,0
africa,malawi,m,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,m,verbal,100,0,0,0,0,0,100,0,0,0,0,0
africa,tanzania,m,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,uganda,m,verbal,100,100,0,0,0,0,0,0,0,0,0,0
africa,zambia,m,verbal,100,0,0,16.7,0,0,16.7,0,33.3,16.7,0,16.7
africa,zimbabwe,m,verbal,100,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,f,verbal,100,0,0,66.7,0,0,0,0,0,0,0,33.3
africa,kenya,f,verbal,100,12.5,0,25,0,12.5,0,12.5,25,0,0,12.5
africa,malawi,f,verbal,100,0,0,80,0,0,0,0,0,20,0,0
africa,rwanda,f,verbal,100,0,0,50,0,0,0,0,0,0,0,50
africa,tanzania,f,verbal,100,0,16.7,33.3,16.7,0,0,0,0,33.3,0,0
africa,uganda,f,verbal,100,0,0,100,0,0,0,0,0,0,0,0
africa,zambia,f,verbal,100,11.1,0,22.2,0,11.1,0,0,22.2,33.3,0,0
africa,zimbabwe,f,verbal,100,0,0,62.5,0,0,0,0,0,12.5,0,25
africa,botswana,n,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,n,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,malawi,n,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,n,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,tanzania,n,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,uganda,n,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,zambia,n,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,zimbabwe,n,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,m,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,kenya,m,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,malawi,m,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,m,physical,100,0,0,100,0,0,0,0,0,0,0,0
africa,tanzania,m,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,uganda,m,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,zambia,m,physical,100,0,0,16.7,0,16.7,16.7,0,0,33.3,16.7,0
africa,zimbabwe,m,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,botswana,f,physical,100,33.3,0,33.3,0,0,33.3,0,0,0,0,0
africa,kenya,f,physical,100,50,0,0,0,0,0,0,0,50,0,0
africa,malawi,f,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,rwanda,f,physical,100,0,0,0,0,0,0,0,0,0,0,0
africa,tanzania,f,physical,100,50,0,0,0,0,0,50,0,0,0,0
africa,uganda,f,physical,100,0,0,100,0,0,0,0,0,0,0,0
africa,zambia,f,physical,100,0,0,100,0,0,0,0,0,0,0,0
africa,zimbabwe,f,physical,100,0,0,100,0,0,0,0,0,0,0,0
